"","p_val","log2FoldChange","pct.1","pct.2","padj"
"ATP5I",0.473355238618355,0.0898709747074269,0.276,0.224,1
"CCNH",0.473944459026902,0.0673861533862896,0.165,0.119,1
"HSPD1",0.474137467215516,0.0781226114844549,0.226,0.196,1
"EIF1AY",0.474399459920825,0.0727345809422643,0.173,0.131,1
"TCEB2",0.474583704952002,0.15693538898728,0.488,0.384,1
"TNFRSF25",0.474751709413142,0.242313813386717,0.152,0.06,1
"POLR2F",0.475078207128803,0.0726005320563125,0.173,0.13,1
"FDFT1",0.475188246963568,0.0421195876442021,0.116,0.09,1
"TTC39C",0.47577319505039,0.176986561688736,0.278,0.154,1
"SMIM19",0.475888855259917,0.0437910708657503,0.118,0.092,1
"DNAJC9",0.476240156257488,0.0274497999068876,0.101,0.077,1
"NAA38",0.476691881549281,0.0752775469976031,0.192,0.138,1
"TRIM22",0.476710158290284,0.0831712098540267,0.222,0.166,1
"NAAA",0.476760096587394,0.0598328085116581,0.157,0.097,1
"PSMA2.1",0.477079638861481,0.191575951153864,0.242,0.176,1
"CCDC23",0.478277271794279,0.0401439797457498,0.116,0.084,1
"UQCR11.1",0.478889994213472,0.164461102393087,0.586,0.503,1
"RASA3",0.478898862557358,0.0505064982317278,0.135,0.089,1
"PPHLN1",0.479189441160882,0.0857326764610815,0.229,0.179,1
"FDPS",0.479462650298423,0.0638784897749301,0.145,0.118,1
"CELF2",0.480661005465692,0.0880528332684475,0.291,0.212,1
"S100A8",0.481502812646965,0.0380645512035375,0.108,0.085,1
"HSF1",0.481675955406069,0.0338769925829427,0.104,0.08,1
"RNPS1",0.482181042952899,0.0862518536906983,0.279,0.208,1
"SQSTM1",0.482631969427554,0.0788862217095764,0.236,0.147,1
"AP2S1",0.482993063764942,0.0908617233151325,0.261,0.177,1
"PPIH",0.483465779279883,0.0400525899187046,0.109,0.089,1
"MGMT",0.48403364693295,0.0734107193999463,0.175,0.121,1
"NUDT21",0.484094333840791,0.0564437606531472,0.14,0.101,1
